"B1 sentence","OR-B1 transformation","OR sentence"
"Die Polizei in Graz hat am Montag bei einem Wohnungsbrand eine tote Frau gefunden.","Complex split ","Nach dem Fund einer Toten am Montag bei einem Wohnungsbrand in Graz geht die Polizei von einem Gewaltverbrechen aus. "
"Die Polizei geht deshalb von Mord aus.","Complex split ","Nach dem Fund einer Toten am Montag bei einem Wohnungsbrand in Graz geht die Polizei von einem Gewaltverbrechen aus. "
"Die Leiche der 41-jährigen wies deutliche Gewalt-Spuren am ganzen Körper auf.","Drop extra info ","Die 41-Jährige wies deutliche Spuren massiver Gewalteinwirkung am ganzen Körper auf, wie ein Polizist am Dienstag der APA sagte. "
"Die Ermittlungen sind schwierig.","Paraphrase ","Die Ermittlungen gestalteten sich schwierig. "
"Bei der Wohnung soll es sich um einen Messie-Haushalt handeln.","Drop extra info ","Es soll sich bei der Wohnung beim Hauptbahnhof um einen Messie-Haushalt handeln. "
"Also um einen Haushalt, in dem alles Mögliche gesammelt wurde und herum lag.","Insert complementary info ",""
"Ein Nachbar der Frau hatte am Montag einen Brand gerochen.","Drop extra info ","Ein Nachbar der 41-jährigen Mieterin der Wohnung hatte am Montag gegen 11.00 Uhr im vierten Stock eines Mehrparteienhaus in der Waagner-Biro-Straße Brandgeruch wahrgenommen. "
"Er verständigte die Einsatzkräfte und sah selbst in der Wohnung nach.","Drop extra info ","Der Mann verständigte über den Notruf die Einsatzkräfte und sah selbst in der Wohnung nach, deren Tür unversperrt gewesen war. "
"Laut Polizei soll es kein großer Brand gewesen sein.","Paraphrase ","Ein großer Brand soll es nicht gewesen sein, wie ein Polizeisprecher sagte. "
"Ob der Brand möglicherweise gelegt wurde, konnte noch nicht gesagt werden.","Identical ","Ob der Brand möglicherweise gelegt wurde, konnte nicht gesagt werden. "
