"B1 sentence","OR-B1 transformation","OR sentence"
"Am Wochenende ist in England ein Pub mit rund 60 Gästen bei einem Sturm eingeschneit worden.","Join ","Wegen Schnee und Wind am Wochenende haben Besucher eines Pubs in Nordengland eine dritte Nacht in einem Pub verbringen müssen. Die rund 60 Gäste waren nach dem Auftritt einer Oasis-Cover-Band am Freitagabend gestrandet. Wegen Schnee und Wind am Wochenende haben Besucher eines Pubs in Nordengland eine dritte Nacht in einem Pub verbringen müssen. "
"Pub ist der englische Begriff für ein Lokal.","Insert complementary info ",""
"Am Wochenende ist in England ein Pub mit rund 60 Gästen bei einem Sturm eingeschneit worden.","Complex split ",""
"Die Gäste müssen bereits seit 3 Nächten in dem Pub bleiben.","Complex split ","Wegen Schnee und Wind am Wochenende haben Besucher eines Pubs in Nordengland eine dritte Nacht in einem Pub verbringen müssen. "
"Die Besucher konnten am Freitag nach einem Konzert das Lokal nicht mehr verlassen, weil es einen Schneesturm gab.","Insert complementary info ","Die rund 60 Gäste waren nach dem Auftritt einer Oasis-Cover-Band am Freitagabend gestrandet. "
"Den Gästen scheint das aber nicht viel auszumachen.","Insert complementary info ",""
"Laut der Wirtin vertrieben sich die Gäste die Zeit bisher mit Singen, Rätsel-Raten und Spielen.","Paraphrase ","Die Pub-Besucher vertrieben sich die Zeit mit Karaoke, Pub-Quiz und Brettspielen, wie Townsend berichtete. "
"Auch zu essen gab es genug.","Drop extra info ","“Wir haben eine Menge zu essen”, sagte Townsend dem britischen Sender ITV. "
"Die Alkoholausschank wurde allerdings beschränkt.","Drop extra info ","Den Alkoholausschank habe sie auf die Zeit nach 15.00 Uhr beschränkt, fuhr Townsend fort. "
"Wann die Straßen zu dem abgelegenen Pub wieder frei sein werden, ist bisher noch unklar.","Drop extra info ","Wie die Wirtin des Tan Hill Inn, Nicola Townsend, am Montag im BBC-Radio sagte, sei noch unklar, wann die Straße zu dem im Nationalpark Yorkshire Dales gelegenen Lokal freigeräumt werden kann. "
