"A2 sentence","B1-A2 transformation","B1 sentence"
"Die Corona-Regeln in Österreich werden ab Samstag weniger streng.","Complex split ","Ab kommenden Samstag gilt die 2G-Regel in Geschäften und Museen nicht mehr. "
"Dann gilt die 2G-Regel in Museen und in Geschäften nicht mehr.","Complex split ","Ab kommenden Samstag gilt die 2G-Regel in Geschäften und Museen nicht mehr. "
"Das heißt, man muss nicht mehr genesen oder geimpft sein.","Simple split ","Man muss nicht mehr geimpft oder genesen sein,  es genügt auch ein negativer Corona-Test. "
"Es genügt auch ein negativer Corona-Test.","Simple split ","Man muss nicht mehr geimpft oder genesen sein,  es genügt auch ein negativer Corona-Test. "
"Ab Samstag gilt 2G-Regel auch beim Friseur nicht mehr.","Paraphrase ","Ab Samstag gilt 2G auch beim Friseur nicht mehr. "
"Man muss aber eine FFP2-Maske tragen.","Paraphrase ","Allerdings muss man eine FFP2-Maske tragen. "
"Das hat die österreichische Regierung am Dienstag angekündigt.","Paraphrase ","Am Dienstag hat die österreichische Regierung weitere Lockerungen angekündigt. "
"Bei Veranstaltungen können ab Samstag wieder mehr Menschen dabei sein.","Complex split ","Außerdem gibt es bei Veranstaltungen keine Grenze mehr, wie viele Personen teilnehmen dürfen. "
"Es gibt keine Obergrenze mehr.","Complex split ","Außerdem gibt es bei Veranstaltungen keine Grenze mehr, wie viele Personen teilnehmen dürfen. "
"Bei Veranstaltungen gilt aber immer noch die 2G-Regel.","Simple split ","Bei Veranstaltungen drinnen und draußen gilt aber weiterhin die 2G-Regel und die FFP2-Maskenpflicht. "
"Außerdem muss man bei Veranstaltungen eine FFP2-Maske tragen.","Simple split ","Bei Veranstaltungen drinnen und draußen gilt aber weiterhin die 2G-Regel und die FFP2-Maskenpflicht. "
"Das gilt drinnen und draußen.","Simple split ","Bei Veranstaltungen drinnen und draußen gilt aber weiterhin die 2G-Regel und die FFP2-Maskenpflicht. "
