"A2 sentence","B1-A2 transformation","B1 sentence"
"Anfang März könnte ein Teil von einer alten Rakete der Firma SpaceX in den Mond krachen.","Complex split ","Laut Berechnung der US-Weltraumbehörde NASA könnte nun Anfang März ein Teil der Rakete in den Mond krachen. "
"Das hat die NASA berechnet.","Complex split ","Laut Berechnung der US-Weltraumbehörde NASA könnte nun Anfang März ein Teil der Rakete in den Mond krachen. "
"NASA ist die Weltraum-Behörde von den USA.","Insert complementary info ",""
"Die Rakete von SpaceX startete im Jahr 2015 in den Weltraum.","Paraphrase ","2015 ist eine Rakete der Firma SpaceX ins All gestartet. "
"Sie hatte aber nicht mehr genug Treibstoff, um zur Erde zurück zu kommen.","Complex split ","Der Treibstoff der Rakete reichte aber nicht mehr aus um zur Erde zurückzukehren, weshalb sie seither im All unterwegs ist. "
"Seitdem fliegt die Rakete im All.","Complex split ","Der Treibstoff der Rakete reichte aber nicht mehr aus um zur Erde zurückzukehren, weshalb sie seither im All unterwegs ist. "
"Man kann den Aufprall aber nicht direkt beobachten.","Paraphrase ","Der Aufprall wird nicht live beobachtet werden können. "
"Aber die Absturz-Stelle wird untersucht werden.","Paraphrase ","Allerdings wird untersucht werden, ob danach Veränderungen auf dem Mond erkennbar sind. "
"Zuerst muss aber die Absturz-Stelle gefunden werden.","Complex split ","Die Suche nach dem Krater könnte aber Wochen bis Monate dauern. "
"Das kann mehrere Wochen oder auch Monate dauern.","Complex split ","Die Suche nach dem Krater könnte aber Wochen bis Monate dauern. "
